red proportion,win rate,error
0.01,0.18332,0.0017303975127120359
0.02,0.1826,0.0017277571588623212
0.03,0.18424,0.0017337567441829895
0.04,0.17902,0.001714478577293983
0.05,0.18314,0.001729738364030815
0.06,0.18372,0.0017318600497730756
0.07,0.18262,0.0017278306375336676
0.08,0.18036,0.0017194782371405576
0.09,0.18108,0.0017221500143715703
0.1,0.18252,0.0017274631666116646
0.11,0.18216,0.001726138664186629
0.12,0.18106,0.001722075935607951
0.13,0.17996,0.001717989513355655
0.14,0.17872,0.0017133543801560725
0.15,0.1822,0.0017262859554546576
0.16,0.18372,0.0017318600497730756
0.17,0.18288,0.0017287851549570874
0.18,0.18218,0.001726212313708832
0.19,0.18058,0.0017202956931876565
0.2,0.17968,0.0017169455297125766
0.21,0.18054,0.0017201471355671875
0.22,0.18246,0.0017272425909524115
0.23,0.18404,0.0017330278612878677
0.24,0.18194,0.0017253280059165562
0.25,0.1818,0.0017248116418902095
0.26,0.18278,0.0017284181878237685
0.27,0.17962,0.0017167216175023835
0.28,0.18098,0.0017217795422178764
0.29,0.18168,0.0017243687401481158
0.3,0.18248,0.0017273161239333118
0.31,0.18172,0.0017245164052568476
0.32,0.18252,0.0017274631666116646
0.33,0.18132,0.0017230383489638297
0.34,0.17902,0.001714478577293983
0.35000000000000003,0.18334,0.0017304707128408731
0.36,0.1819,0.0017251805122942933
0.37,0.18262,0.0017278306375336676
0.38,0.18312,0.0017296650866569518
0.39,0.18412,0.001733319506611519
0.4,0.18408,0.0017331736993157956
0.41000000000000003,0.1813,0.001722964364112038
0.42,0.182,0.001725549187939886
0.43,0.18446,0.0017345576289071517
0.44,0.17994,0.0017179149944045544
0.45,0.18268,0.0017280510270243758
0.46,0.18158,0.0017239994408351762
0.47000000000000003,0.18356,0.0017312754050121547
0.48,0.18222,0.0017263595894250999
0.49,0.18102,0.0017219277545820557
0.5,0.1807,0.001720741177516247
0.51,0.18116,0.0017224462511207716
0.52,0.18112,0.0017222981484052058
0.53,0.18348,0.0017309828976624813
0.54,0.1819,0.0017251805122942933
0.55,0.18112,0.0017222981484052058
0.56,0.1762,0.0017038401333458488
0.5700000000000001,0.1836,0.001731421612432974
0.58,0.18382,0.0017322252024491505
0.59,0.182,0.001725549187939886
0.6,0.18074,0.0017208896094752855
0.61,0.18244,0.0017271690502090409
0.62,0.1837,0.0017317869961401143
0.63,0.18218,0.001726212313708832
0.64,0.17952,0.001716348272350341
0.65,0.18074,0.0017208896094752855
0.66,0.1813,0.001722964364112038
0.67,0.18186,0.0017250329875106735
0.68,0.18358,0.001731348512576252
0.6900000000000001,0.18238,0.0017269483813941863
0.7000000000000001,0.18134,0.0017231123259961898
0.71,0.18132,0.0017230383489638297
0.72,0.17934,0.0017156757525826373
0.73,0.1813,0.001722964364112038
0.74,0.1817,0.001724442576602654
0.75,0.18216,0.001726138664186629
0.76,0.18414,0.0017333923987372277
0.77,0.18544,0.0017381139571385992
0.78,0.1815,0.0017237038608763397
0.79,0.18242,0.0017270955017022074
0.8,0.17918,0.0017150774186607438
0.81,0.182,0.001725549187939886
0.8200000000000001,0.18212,0.0017259913418091065
0.8300000000000001,0.18252,0.0017274631666116646
0.84,0.181,0.0017218536523177573
0.85,0.18464,0.0017352122083480164
0.86,0.17866,0.0017131293261163911
0.87,0.1813,0.001722964364112038
0.88,0.18684,0.0017431627256225967
0.89,0.18214,0.0017260650068870525
0.9,0.18224,0.0017264332156211547
0.91,0.18068,0.0017206669497610513
0.92,0.18062,0.0017204442193805647
0.93,0.1811,0.0017222240853036516
0.9400000000000001,0.18368,0.0017317139348056306
0.9500000000000001,0.18416,0.0017334652831827928
0.96,0.18126,0.001722816370946132
0.97,0.18142,0.0017234081559514565
0.98,0.18094,0.0017216312985073197
0.99,0.18384,0.0017322982098934353
1.0,0.18468,0.001735357586205218
