green_bias,win_rate_green,error_green
0.01,0.18098,0.0017217795422178764
0.02,0.18624,0.0017410035175151142
0.03,0.18376,0.00173200613393833
0.04,0.18068,0.0017206669497610513
0.05,0.17894,0.001714178966152601
0.06,0.18196,0.0017254017410446762
0.07,0.18188,0.0017251067537981525
0.08,0.1825,0.0017273896491527324
0.09,0.17958,0.0017165723031669828
0.1,0.18312,0.0017296650866569518
0.11,0.18216,0.001726138664186629
0.12,0.1828,0.00172849159673977
0.13,0.1851,0.0017368822067140878
0.14,0.18496,0.0017363743743789815
0.15,0.1821,0.0017259176689517956
0.16,0.17756,0.0017089906167091734
0.17,0.18058,0.0017202956931876565
0.18,0.18108,0.0017221500143715703
0.19,0.186,0.0017401379255679707
0.2,0.1808,0.001721112198550693
0.21,0.18356,0.0017312754050121547
0.22,0.18202,0.0017256228997089718
0.23,0.1798,0.001717393140780526
0.24,0.18296,0.0017290785893070333
0.25,0.18172,0.0017245164052568476
0.26,0.18312,0.0017296650866569518
0.27,0.18592,0.0017398491520818694
0.28,0.18314,0.001729738364030815
0.29,0.18294,0.0017290052423286633
0.3,0.18016,0.0017187342691643754
0.31,0.18442,0.0017344120825224898
0.32,0.18218,0.001726212313708832
0.33,0.18208,0.0017258439883141232
0.34,0.1813,0.001722964364112038
0.35000000000000003,0.18142,0.0017234081559514565
0.36,0.18236,0.0017268748095910138
0.37,0.1826,0.0017277571588623212
0.38,0.18066,0.0017205927141540499
0.39,0.18206,0.0017257702998950933
0.4,0.1812,0.0017225943225263457
0.41000000000000003,0.1817,0.001724442576602654
0.42,0.18398,0.0017328090466061168
0.43,0.18072,0.001720815397420653
0.44,0.1813,0.001722964364112038
0.45,0.18396,0.001732736093004356
0.46,0.18248,0.0017273161239333118
0.47000000000000003,0.18362,0.0017314947045832974
0.48,0.18184,0.0017249592134308566
0.49,0.18082,0.0017211863792163822
0.5,0.1796,0.0017166469642882314
0.51,0.18382,0.0017322252024491505
0.52,0.18332,0.0017303975127120359
0.53,0.1832,0.0017299581497828207
0.54,0.18106,0.001722075935607951
0.55,0.18216,0.001726138664186629
0.56,0.18486,0.0017360114077966194
0.5700000000000001,0.1802,0.0017188831257534643
0.58,0.17766,0.001709367862105755
0.59,0.1815,0.0017237038608763397
0.6,0.18458,0.0017349940841397701
0.61,0.17966,0.0017168709002135251
0.62,0.17946,0.0017161241703326717
0.63,0.17992,0.0017178404675638537
0.64,0.18192,0.0017252542630000946
0.65,0.18132,0.0017230383489638297
0.66,0.17994,0.0017179149944045544
0.67,0.18002,0.0017182130228816216
0.68,0.1801,0.0017185109251907594
0.6900000000000001,0.17906,0.001714628335237698
0.7000000000000001,0.1813,0.001722964364112038
0.71,0.18008,0.0017184364614381295
0.72,0.18404,0.0017330278612878677
0.73,0.18252,0.0017274631666116646
0.74,0.182,0.001725549187939886
0.75,0.18312,0.0017296650866569518
0.76,0.1832,0.0017299581497828207
0.77,0.18374,0.0017319330957054895
0.78,0.1861,0.0017404987216312455
0.79,0.18014,0.0017186598290528583
0.8,0.1833,0.0017303243048631086
0.81,0.17998,0.0017180640244181822
0.8200000000000001,0.18246,0.0017272425909524115
0.8300000000000001,0.18266,0.001727977571613706
0.84,0.18226,0.0017265068340438158
0.85,0.18334,0.0017304707128408731
0.86,0.18168,0.0017243687401481158
0.87,0.17944,0.0017160494538328431
0.88,0.18152,0.0017237777675791041
0.89,0.18036,0.0017194782371405576
0.9,0.1837,0.0017317869961401143
0.91,0.1788,0.0017136543408750786
0.92,0.18192,0.0017252542630000946
0.93,0.18518,0.00173717222865207
0.9400000000000001,0.18316,0.0017298116336757596
0.9500000000000001,0.18222,0.0017263595894250999
0.96,0.18174,0.0017245902261116988
0.97,0.18256,0.0017276101782520267
0.98,0.17934,0.0017156757525826373
0.99,0.18408,0.0017331736993157956
1.0,0.18116,0.0017224462511207716
