m_barabasi_albert,red_ratio,mafia_win_rate
1,0.1,0.5
1,0.2,0.59
1,0.30000000000000004,0.58
1,0.4,0.57
1,0.5,0.59
1,0.6000000000000001,0.5
1,0.7000000000000001,0.59
1,0.8,0.54
1,0.9,0.57
1,1.0,0.48
2,0.1,0.49
2,0.2,0.5
2,0.30000000000000004,0.52
2,0.4,0.57
2,0.5,0.54
2,0.6000000000000001,0.58
2,0.7000000000000001,0.54
2,0.8,0.51
2,0.9,0.52
2,1.0,0.46
3,0.1,0.62
3,0.2,0.61
3,0.30000000000000004,0.58
3,0.4,0.66
3,0.5,0.57
3,0.6000000000000001,0.52
3,0.7000000000000001,0.57
3,0.8,0.52
3,0.9,0.48
3,1.0,0.42
4,0.1,0.55
4,0.2,0.52
4,0.30000000000000004,0.56
4,0.4,0.71
4,0.5,0.55
4,0.6000000000000001,0.67
4,0.7000000000000001,0.58
4,0.8,0.63
4,0.9,0.49
4,1.0,0.51
5,0.1,0.56
5,0.2,0.61
5,0.30000000000000004,0.55
5,0.4,0.56
5,0.5,0.58
5,0.6000000000000001,0.6
5,0.7000000000000001,0.58
5,0.8,0.59
5,0.9,0.6
5,1.0,0.56
6,0.1,0.5
6,0.2,0.64
6,0.30000000000000004,0.64
6,0.4,0.57
6,0.5,0.58
6,0.6000000000000001,0.6
6,0.7000000000000001,0.65
6,0.8,0.53
6,0.9,0.5
6,1.0,0.45
7,0.1,0.6
7,0.2,0.52
7,0.30000000000000004,0.51
7,0.4,0.69
7,0.5,0.56
7,0.6000000000000001,0.66
7,0.7000000000000001,0.63
7,0.8,0.59
7,0.9,0.52
7,1.0,0.57
8,0.1,0.59
8,0.2,0.58
8,0.30000000000000004,0.68
8,0.4,0.65
8,0.5,0.54
8,0.6000000000000001,0.65
8,0.7000000000000001,0.64
8,0.8,0.67
8,0.9,0.59
8,1.0,0.53
9,0.1,0.53
9,0.2,0.59
9,0.30000000000000004,0.66
9,0.4,0.61
9,0.5,0.61
9,0.6000000000000001,0.67
9,0.7000000000000001,0.6
9,0.8,0.65
9,0.9,0.53
9,1.0,0.51
10,0.1,0.49
10,0.2,0.61
10,0.30000000000000004,0.55
10,0.4,0.7
10,0.5,0.55
10,0.6000000000000001,0.59
10,0.7000000000000001,0.64
10,0.8,0.63
10,0.9,0.59
10,1.0,0.56
11,0.1,0.52
11,0.2,0.61
11,0.30000000000000004,0.58
11,0.4,0.63
11,0.5,0.61
11,0.6000000000000001,0.7
11,0.7000000000000001,0.54
11,0.8,0.58
11,0.9,0.55
11,1.0,0.59
12,0.1,0.59
12,0.2,0.62
12,0.30000000000000004,0.59
12,0.4,0.71
12,0.5,0.62
12,0.6000000000000001,0.62
12,0.7000000000000001,0.6
12,0.8,0.59
12,0.9,0.52
12,1.0,0.57
13,0.1,0.45
13,0.2,0.63
13,0.30000000000000004,0.67
13,0.4,0.62
13,0.5,0.71
13,0.6000000000000001,0.52
13,0.7000000000000001,0.63
13,0.8,0.52
13,0.9,0.49
13,1.0,0.44
14,0.1,0.52
14,0.2,0.57
14,0.30000000000000004,0.5
14,0.4,0.59
14,0.5,0.67
14,0.6000000000000001,0.68
14,0.7000000000000001,0.68
14,0.8,0.59
14,0.9,0.53
14,1.0,0.47
15,0.1,0.48
15,0.2,0.55
15,0.30000000000000004,0.6
15,0.4,0.63
15,0.5,0.62
15,0.6000000000000001,0.61
15,0.7000000000000001,0.59
15,0.8,0.68
15,0.9,0.45
15,1.0,0.43
16,0.1,0.64
16,0.2,0.59
16,0.30000000000000004,0.52
16,0.4,0.61
16,0.5,0.65
16,0.6000000000000001,0.53
16,0.7000000000000001,0.57
16,0.8,0.57
16,0.9,0.42
16,1.0,0.47
17,0.1,0.47
17,0.2,0.56
17,0.30000000000000004,0.55
17,0.4,0.59
17,0.5,0.65
17,0.6000000000000001,0.59
17,0.7000000000000001,0.51
17,0.8,0.54
17,0.9,0.47
17,1.0,0.49
18,0.1,0.47
18,0.2,0.53
18,0.30000000000000004,0.55
18,0.4,0.62
18,0.5,0.54
18,0.6000000000000001,0.62
18,0.7000000000000001,0.59
18,0.8,0.62
18,0.9,0.48
18,1.0,0.45
19,0.1,0.37
19,0.2,0.51
19,0.30000000000000004,0.55
19,0.4,0.55
19,0.5,0.59
19,0.6000000000000001,0.53
19,0.7000000000000001,0.6
19,0.8,0.52
19,0.9,0.45
19,1.0,0.48
20,0.1,0.43
20,0.2,0.51
20,0.30000000000000004,0.38
20,0.4,0.56
20,0.5,0.57
20,0.6000000000000001,0.54
20,0.7000000000000001,0.44
20,0.8,0.34
20,0.9,0.4
20,1.0,0.4
21,0.1,0.46
21,0.2,0.58
21,0.30000000000000004,0.46
21,0.4,0.56
21,0.5,0.59
21,0.6000000000000001,0.48
21,0.7000000000000001,0.65
21,0.8,0.65
21,0.9,0.46
21,1.0,0.53
