m_barabasi_albert,red_ratio,mafia_win_rate
1,0.01,0.74
1,0.02,0.82
1,0.03,0.76
1,0.04,0.81
1,0.05,0.75
1,0.06,0.76
1,0.07,0.86
1,0.08,0.78
1,0.09,0.77
1,0.1,0.8
1,0.11,0.75
1,0.12,0.77
1,0.13,0.72
1,0.14,0.79
1,0.15,0.73
1,0.16,0.76
1,0.17,0.72
1,0.18,0.75
1,0.19,0.77
1,0.2,0.77
1,0.21,0.76
1,0.22,0.7
1,0.23,0.73
1,0.24,0.8
1,0.25,0.74
1,0.26,0.74
1,0.27,0.76
1,0.28,0.75
1,0.29,0.71
1,0.3,0.8
1,0.31,0.76
1,0.32,0.75
1,0.33,0.74
1,0.34,0.71
1,0.35,0.76
1,0.36,0.75
1,0.37,0.7
1,0.38,0.65
1,0.39,0.71
1,0.4,0.71
1,0.41,0.69
1,0.42,0.63
1,0.43,0.7
1,0.44,0.7
1,0.45,0.67
1,0.46,0.72
1,0.47,0.61
1,0.48,0.63
1,0.49,0.62
1,0.5,0.62
1,0.51,0.68
1,0.52,0.57
1,0.53,0.66
1,0.54,0.67
1,0.55,0.57
1,0.56,0.58
1,0.57,0.58
1,0.58,0.6
1,0.59,0.57
1,0.6,0.53
1,0.61,0.52
1,0.62,0.63
1,0.63,0.46
1,0.64,0.61
1,0.65,0.52
1,0.66,0.5
1,0.67,0.49
1,0.68,0.46
1,0.69,0.49
1,0.7,0.5
1,0.71,0.46
1,0.72,0.53
1,0.73,0.51
1,0.74,0.45
1,0.75,0.54
1,0.76,0.49
1,0.77,0.4
1,0.78,0.42
1,0.79,0.51
1,0.8,0.45
1,0.81,0.37
1,0.82,0.35
1,0.83,0.39
1,0.84,0.38
1,0.85,0.46
1,0.86,0.33
1,0.87,0.42
1,0.88,0.33
1,0.89,0.31
1,0.9,0.27
1,0.91,0.4
1,0.92,0.33
1,0.93,0.35
1,0.94,0.31
1,0.95,0.33
1,0.96,0.25
1,0.97,0.34
1,0.98,0.29
1,0.99,0.33
1,1.0,0.28
2,0.01,0.76
2,0.02,0.81
